"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест для проверки поиска необходимой информации","163","test_labels_steps","tests","Thu Dec 19 13:37:03 GMT 2024","broken","Thu Dec 19 13:37:03 GMT 2024","","test_labels","",""
"","164","test_dynamic_steps","tests","Thu Dec 19 13:37:04 GMT 2024","broken","Thu Dec 19 13:37:04 GMT 2024","","test_steps","",""
"","283","test_decorator_steps","tests","Thu Dec 19 13:37:03 GMT 2024","broken","Thu Dec 19 13:37:03 GMT 2024","","test_decorator_steps","",""
"","162","test_github","tests","Thu Dec 19 13:37:03 GMT 2024","broken","Thu Dec 19 13:37:04 GMT 2024","","test_selene","",""
