"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5877","test_github","tests","Thu Dec 19 14:35:00 GMT 2024","passed","Thu Dec 19 14:35:06 GMT 2024","","test_selene","",""
"","8811","test_dynamic_steps","tests","Thu Dec 19 14:35:06 GMT 2024","failed","Thu Dec 19 14:35:15 GMT 2024","","test_steps","",""
"","8834","test_decorator_steps","tests","Thu Dec 19 14:34:45 GMT 2024","passed","Thu Dec 19 14:34:54 GMT 2024","","test_decorator_steps","",""
"Тест для проверки поиска необходимой информации","6113","test_labels_steps","tests","Thu Dec 19 14:34:54 GMT 2024","passed","Thu Dec 19 14:35:00 GMT 2024","","test_labels","",""
